WARNING 2020-09-26 20:14:33,963 log 224 Not Found: /back/home/console.html
WARNING 2020-09-26 20:14:33,963 basehttp 157 "GET /back/home/console.html HTTP/1.1" 404 2196
WARNING 2020-09-26 20:14:33,964 log 224 Not Found: /layuiadmin/layui/layui.js
WARNING 2020-09-26 20:14:33,965 basehttp 157 "GET /layuiadmin/layui/layui.js HTTP/1.1" 404 2153
WARNING 2020-09-26 20:14:33,990 basehttp 157 "GET /static/backend/font/iconfont.woff2?v=250 HTTP/1.1" 404 1713
WARNING 2020-09-26 20:14:34,008 basehttp 157 "GET /static/backend/font/iconfont.woff?v=250 HTTP/1.1" 404 1710
WARNING 2020-09-26 20:14:34,018 basehttp 157 "GET /static/backend/font/iconfont.ttf?v=250 HTTP/1.1" 404 1707
INFO 2020-09-26 20:34:50,785 autoreload 612 Watching for file changes with StatReloader
INFO 2020-09-26 20:35:01,584 basehttp 157 "GET /back/index HTTP/1.1" 200 28330
INFO 2020-09-26 20:35:01,668 basehttp 157 "GET /static/backend/js/layui.js HTTP/1.1" 200 9642
WARNING 2020-09-26 20:35:01,671 log 224 Not Found: /back/home/console.html
WARNING 2020-09-26 20:35:01,671 basehttp 157 "GET /back/home/console.html HTTP/1.1" 404 2196
WARNING 2020-09-26 20:35:01,685 basehttp 157 "GET /static/backend/font/iconfont.woff2?v=250 HTTP/1.1" 404 1713
WARNING 2020-09-26 20:35:01,686 log 224 Not Found: /layuiadmin/lib/index.js
WARNING 2020-09-26 20:35:01,687 basehttp 157 "GET /layuiadmin/lib/index.js HTTP/1.1" 404 2147
WARNING 2020-09-26 20:35:01,698 basehttp 157 "GET /static/backend/font/iconfont.woff?v=250 HTTP/1.1" 404 1710
WARNING 2020-09-26 20:35:01,716 basehttp 157 "GET /static/backend/font/iconfont.ttf?v=250 HTTP/1.1" 404 1707
INFO 2020-09-26 20:36:33,501 basehttp 157 "GET /back/index HTTP/1.1" 200 28330
INFO 2020-09-26 20:36:33,565 basehttp 157 "GET /static/backend/js/layui.js HTTP/1.1" 304 0
WARNING 2020-09-26 20:36:33,571 log 224 Not Found: /back/home/console.html
INFO 2020-09-26 20:36:33,571 basehttp 157 "GET /static/backend/font/iconfont.woff2?v=250 HTTP/1.1" 200 23140
WARNING 2020-09-26 20:36:33,571 basehttp 157 "GET /back/home/console.html HTTP/1.1" 404 2196
WARNING 2020-09-26 20:36:33,579 log 224 Not Found: /layuiadmin/lib/index.js
WARNING 2020-09-26 20:36:33,580 basehttp 157 "GET /layuiadmin/lib/index.js HTTP/1.1" 404 2147
INFO 2020-09-26 20:36:37,705 basehttp 157 "GET /back/index HTTP/1.1" 200 28330
INFO 2020-09-26 20:36:37,751 basehttp 157 "GET /static/backend/js/layui.js HTTP/1.1" 304 0
WARNING 2020-09-26 20:36:37,756 log 224 Not Found: /back/home/console.html
WARNING 2020-09-26 20:36:37,756 basehttp 157 "GET /back/home/console.html HTTP/1.1" 404 2196
WARNING 2020-09-26 20:36:37,763 log 224 Not Found: /layuiadmin/lib/index.js
WARNING 2020-09-26 20:36:37,763 basehttp 157 "GET /layuiadmin/lib/index.js HTTP/1.1" 404 2147
INFO 2020-09-26 20:36:43,837 autoreload 612 Watching for file changes with StatReloader
INFO 2020-09-26 20:36:50,195 basehttp 157 "GET /back/index HTTP/1.1" 200 28330
INFO 2020-09-26 20:36:51,026 basehttp 157 "GET /static/backend/js/layui.js HTTP/1.1" 200 9642
INFO 2020-09-26 20:36:51,026 basehttp 157 "GET /static/backend/css/admin.css HTTP/1.1" 200 21032
INFO 2020-09-26 20:36:51,027 basehttp 157 "GET /static/backend/css/layui.css HTTP/1.1" 200 72911
WARNING 2020-09-26 20:36:51,041 log 224 Not Found: /back/home/console.html
WARNING 2020-09-26 20:36:51,042 basehttp 157 "GET /back/home/console.html HTTP/1.1" 404 2196
WARNING 2020-09-26 20:36:51,457 log 224 Not Found: /layuiadmin/lib/index.js
WARNING 2020-09-26 20:36:51,458 log 224 Not Found: /favicon.ico
WARNING 2020-09-26 20:36:51,459 basehttp 157 "GET /layuiadmin/lib/index.js HTTP/1.1" 404 2147
